ID,EID,MaxSpeed,Capacity,Lanes,InRoundabout,Length,Xdata,Ydata,FRC
404,220,20.1,0,1,0,67.2,0.229883136550408,0.851551637053992,7
1786,2208,18.0,0,1,0,16.88,0.247473667567744,0.877483131711451,6
1826,2266,20.1,0,1,0,18.62,0.218097180848363,0.815716793665062,7
405,223,20.7,0,1,0,49.27,0.311364939502484,0.263695418794234,6
6422,9558,20.7,0,1,0,4.53,0.333696453886133,0.262452609262765,6
6051,8904,20.1,0,1,0,36.35,0.286871012458781,0.243198449105409,7
1609,1971,20.7,0,1,0,90.51,0.25876996959128,0.270976059130191,6
409,228,19.5836811065674,0,1,0,22.21,0.533376015949983,0.518389166554005,5
2045,2592,21.884937286377,0,1,0,29.73,0.548160928446711,0.535208664134146,5
410,229,21.884937286377,0,1,0,21.94,0.533376015949983,0.518389166554005,5
1606,1964,20.1,0,1,0,26.97,0.516850559180321,0.51453011676246,7
2047,2594,19.5836811065674,0,1,0,40.11,0.516762998157875,0.498621469945756,5
616,553,20.1,0,1,0,85.58,0.101508070292091,0.191252979827004,7
421,247,25.8514652252197,0,2,0,50.95,0.0700959534378954,0.152204527297933,1
422,248,24.0,0,1,0,154.26,0.0931486947562624,0.712118302271515,7
783,796,26.0,0,1,0,32.67,0.101483270320358,0.648364935030902,6
3128,4100,27.0,0,1,0,63.13,0.0612345643496689,0.62981342358864,6
4165,5751,20.1,0,1,0,16.12,0.0988021826811241,0.788298408275672,7
1578,1914,24.0,0,1,0,55.97,0.0703188473920707,0.776353702915591,7
423,250,20.1,0,1,0,92.22,0.133023346207304,0.77809943347395,7
4013,5500,6.7,0,1,0,55.2,0.169108066337143,0.802783803785499,7
5698,8326,20.1,0,1,0,50.55,0.186893250094569,0.775410425668524,7
428,256,22.0,0,1,0,79.7,0.271768022022656,0.54124498311951,7
5201,7474,20.1,0,1,0,107.98,0.250597448279758,0.51399207657923,7
1366,1630,20.1,0,1,0,54.26,0.241823943124153,0.592326786744071,7
3927,5350,20.1,0,1,0,15.59,0.262930997883687,0.570697684962505,7
4163,5748,22.0,0,1,0,41.73,0.238263120938919,0.57223206725377,7
431,260,20.7,0,1,0,67.9,0.357812538089641,0.300349386368913,6
1057,1194,20.7,0,1,0,35.29,0.364323250834224,0.268139093237019,6
6678,10029,20.4665279388428,0,1,0,111.24,0.358185658787999,0.317755098053789,1
492,383,20.7,0,1,0,27.88,0.366569850743098,0.346186798788431,6
5454,7924,20.1,0,1,0,34.16,0.37841955603072,0.333857347646692,7
432,263,22.6694564819336,0,1,0,79.91,0.402989872478794,0.455841597871126,6
5811,8509,22.6694564819336,0,1,0,16.08,0.39022626727128,0.499006571208746,6
434,267,18.7489547729492,0,1,0,24.93,0.456018744719781,0.518004980554395,6
517,424,20.1,0,1,0,51.05,0.441506329812925,0.533823829384501,7
1063,1200,13.0,0,1,0,28.53,0.464523848411138,0.541584182276662,6
975,1078,18.0,0,1,0,115.71,0.4327650670038,0.464631512038589,6
6102,8995,18.7489547729492,0,1,0,8.07,0.454533781168566,0.503297282215495,7
437,274,18.7489547729492,0,1,0,44.22,0.570765005875027,0.83716846505233,6
5262,7578,20.1,0,1,0,37.07,0.588243603200374,0.844702449547067,7
1214,1419,18.7489547729492,0,1,0,43.71,0.556928172098686,0.800236130665161,6
438,278,19.0,0,1,0,74.16,0.604250373913889,0.478832280986279,6
3699,4972,21.9790802001953,0,1,0,5.74,0.578211840936102,0.466894677091075,6
4924,7034,25.0,0,1,0,33.38,0.565881820183215,0.457412451784796,6
2693,3472,17.8329849243164,0,1,0,62.16,0.590162988355895,0.438399528973053,6
439,279,25.0,0,1,0,74.52,0.604250373913889,0.478832280986279,6
2823,3661,17.824634552002,0,1,0,49.22,0.626170508449262,0.518650233249963,7
5313,7665,19.0,0,1,0,77.25,0.654704959882635,0.510735891335778,6
440,280,20.1,0,1,0,36.56,0.651266226612508,0.75177113933986,7
1735,2144,20.1,0,1,0,23.51,0.630767733009293,0.74251678199223,7
2901,3762,20.1,0,1,0,73.18,0.68087137536145,0.791037105907945,7
4839,6889,20.1,0,1,0,37.09,0.672501129970833,0.753388418366961,7
449,300,20.8493728637695,0,1,0,41.21,0.803230921369657,0.57385758365358,3
607,541,23.2133884429932,0,1,0,90.49,0.822922288224093,0.525295284276897,3
450,301,23.2133884429932,0,1,0,41.27,0.803230921369657,0.57385758365358,3
1223,1431,20.8493728637695,0,1,0,4.47,0.795619202396106,0.592955638241989,3
451,303,21.2154808044434,0,2,0,95.58,0.842853398096464,0.295455242860346,1
1072,1212,17.6799163818359,0,1,0,78.47,0.840111001159659,0.272549769156609,6
914,988,21.2154808044434,0,2,0,25.73,0.884942445040113,0.318722172154844,1
4170,5756,23.0,0,1,0,48.49,0.872648805724564,0.289886088330256,6
454,308,20.1,0,1,0,58.29,0.938181808731938,0.423860733549739,7
6036,8879,20.1,0,1,0,6.48,0.944549329609232,0.396968988408379,7
455,309,20.1,0,1,0,58.14,0.938181808731938,0.423860733549739,7
8140,12647,20.1,0,1,0,13.22,0.930321334122649,0.451095751589042,7
474,342,20.1,0,1,0,27.23,0.104534150199154,0.58127704578531,7
3676,4941,20.1,0,1,0,18.18,0.0885301477187626,0.582284595786869,7
475,343,20.1,0,1,0,27.16,0.104534150199154,0.58127704578531,7
7883,12111,20.1,0,1,0,30.53,0.124139549099468,0.579802678638511,7
477,348,20.1,0,1,0,15.48,0.145762787529105,0.652996822817865,7
3215,4206,27.0,0,1,0,36.05,0.129437931491613,0.656651617635134,6
5499,8001,26.0,0,1,0,27.24,0.155290581996635,0.663503534588844,6
1580,1916,20.1,0,1,0,40.45,0.16070932429099,0.638022431363559,7
487,369,20.1,0,1,0,43.89,0.217393768015625,0.63049838810233,7
3408,4505,20.1,0,1,0,40.79,0.225200411953923,0.593533999057362,7
7474,11370,20.1,0,1,0,15.43,0.207968766733781,0.656942932977164,7
6945,10491,20.1,0,1,0,30.67,0.201347788890212,0.633936849734552,7
3297,4357,20.7,0,1,0,6.01,0.366942971441455,0.363592510473306,6
493,387,20.4665279388428,0,2,0,49.06,0.346260410644352,0.245069836373291,1
1000,1114,18.7489547729492,0,1,0,29.26,0.496014389473747,0.632398736926311,6
4296,5970,13.0,0,1,0,5.1,0.503348502364625,0.652095835654327,6
499,395,17.9832630157471,0,1,0,86.38,0.362964490114067,0.598213954529444,6
1581,1920,20.1,0,1,0,52.7,0.371070837999701,0.624090198316697,7
2186,2780,17.9832630157471,0,1,0,42.62,0.346002175480148,0.654136677447404,6
3462,4605,19.7928867340088,0,1,0,68.62,0.0740005678869591,0.229159122040875,6
8363,13134,21.0,0,1,0,20.71,0.0318529741725072,0.224075343260894,6
2102,2673,20.1,0,1,0,47.09,0.202098704764219,0.826246092835569,7
511,413,20.1,0,1,0,63.66,0.186136812859335,0.856686850381914,7
7235,10967,22.6993732452393,0,1,0,5.59,0.190739299311205,0.885188809859192,5
513,416,17.9832630157471,0,1,0,81.37,0.31630382451487,0.751885947723031,6
7056,10653,20.9895401000977,0,1,0,13.62,0.330553046814238,0.724534711631221,7
821,859,20.1,0,1,0,58.65,0.326734318416962,0.778799904351867,7
2864,3717,17.9832630157471,0,1,0,47.81,0.299086035565215,0.806116209243554,6
514,418,25.5690383911133,0,1,0,72.58,0.353365341559846,0.877197267091693,5
6325,9379,20.9895401000977,0,1,0,34.7,0.386001874737294,0.891418016571108,7
3960,5404,22.6993732452393,0,1,0,74.65,0.406795598202839,0.874547877126663,5
515,419,22.6993732452393,0,1,0,72.08,0.353365341559846,0.877197267091693,5
7869,12088,20.1,0,1,0,10.15,0.323314499224564,0.871809032398849,7
4167,5753,25.5690383911133,0,1,0,9.23,0.320916340986621,0.879420528283241,5
2677,3451,20.1,0,1,0,32.16,0.411866482317626,0.541529801724084,7
522,431,18.7489547729492,0,1,0,44.04,0.543134702608384,0.762504742516616,6
1089,1236,20.1,0,1,0,145.11,0.489857609446756,0.770868049848757,7
2634,3386,18.7489547729492,0,1,0,33.29,0.531551465351927,0.729734487820018,6
5128,7362,22.5627613067627,0,2,0,30.33,0.764276518950826,0.27428000969524,1
525,438,20.1,0,1,0,129.64,0.731415748150344,0.263557263016515,7
1497,1804,21.9790802001953,0,1,0,58.06,0.663030257988891,0.272420847734811,6
8281,12924,17.8329849243164,0,1,0,5.99,0.677019275103433,0.241689244736595,6
6052,8905,20.1,0,1,0,36.35,0.286871012458781,0.243198449105409,7
554,470,20.1,0,1,0,61.71,0.259404680094508,0.22241720833616,7
5559,8115,20.1,0,1,0,56.68,0.280981781977004,0.19952438488314,7
1607,1967,20.1,0,1,0,50.91,0.218582783044743,0.215196113254891,7
558,476,19.7928867340088,0,1,0,36.87,0.335103694098414,0.383480817582112,6
4891,6972,8.0,0,1,0,77.13,0.322461409132055,0.415869840455796,7
3929,5353,19.7928867340088,0,1,0,8.99,0.356787504368602,0.393421737068985,6
559,478,20.7,0,1,0,45.95,0.363905651440509,0.455970171983271,6
4900,6987,20.7,0,1,0,5.46,0.362647837410233,0.432192002568962,6
562,484,20.1,0,1,0,104.58,0.557630735362105,0.26832667325138,7
3562,4772,20.1,0,1,0,2.04,0.595746169470288,0.274672347261511,7
2082,2644,20.0,0,1,0,52.05,0.600884260189207,0.24631102376303,7
563,485,20.1,0,1,0,104.88,0.557630735362105,0.26832667325138,7
3755,5051,20.1,0,1,0,97.16,0.524799715934656,0.308491780111362,7
1893,2369,20.1,0,1,0,73.56,0.496323853901573,0.27537526973849,7
564,486,19.5836811065674,0,1,0,18.18,0.594861942042069,0.600113412606221,5
5688,8315,21.884937286377,0,1,0,16.76,0.607316696418213,0.61847474125292,5
565,487,21.884937286377,0,1,0,18.09,0.594861942042069,0.600113412606221,5
2299,2942,19.5836811065674,0,1,0,41.26,0.578436367902784,0.578180962217227,5
1184,1377,20.1,0,1,0,89.19,0.559609272157597,0.620226645754877,7
570,494,19.5836811065674,0,1,0,87.58,0.684671847920949,0.667519584783141,5
591,524,21.884937286377,0,2,0,45.12,0.72876383286118,0.699101945766718,5
1438,1723,20.1,0,1,0,66.21,0.697720767097218,0.714434344229134,7
571,495,21.884937286377,0,2,0,87.69,0.684671847920949,0.667519584783141,5
1217,1425,18.0,0,1,0,40.34,0.663966335661848,0.629133251950847,7
1068,1206,19.5836811065674,0,1,0,45.38,0.635376121131406,0.638086941105861,5
572,496,14.0,0,1,0,84.12,0.673363987592784,0.360918404303545,7
1022,1145,14.0,0,1,0,85.17,0.727906171340682,0.394885460189766,7
2313,2961,20.1,0,1,0,73.95,0.711694799433977,0.348224200170533,7
575,501,21.2154808044434,0,2,0,26.41,0.800617629427481,0.274262717750006,1
6137,9054,21.8242683410645,0,1,0,10.3,0.861041620079663,0.214449797474787,6
2752,3551,20.1,0,1,0,100.7,0.824608142522422,0.208449557855658,7
578,504,23.0,0,1,0,44.81,0.856015322408925,0.180226569919052,6
580,507,21.2154808044434,0,2,0,10.69,0.899570489651465,0.333454925836071,1
592,525,19.5836811065674,0,1,0,46.09,0.72876383286118,0.699101945766718,5
1589,1930,20.8493728637695,0,1,0,92.92,0.729254355577675,0.746816094025462,3
1524,1843,23.2133884429932,0,1,0,46.64,0.753800705847016,0.689333422724217,3
4691,6644,27.0,0,2,0,106.35,0.785281306176812,0.735471646346051,5
595,529,20.1,0,1,0,87.93,0.778448990669766,0.906886634048095,7
4350,6075,13.0,0,1,0,46.57,0.776541743513251,0.956083439944541,4
775,784,19.0,0,1,0,61.9,0.773537641302596,0.874028228022044,6
1590,1931,23.2133884429932,0,2,0,93.22,0.729254355577675,0.746816094025462,3
596,530,20.8493728637695,0,1,0,34.49,0.70658153520433,0.799797180028863,3
711,697,23.0,0,1,0,58.39,0.698211289813713,0.762148492487878,7
597,531,23.2133884429932,0,1,0,34.74,0.70658153520433,0.799797180028863,3
3581,4793,20.8493728637695,0,1,0,31.59,0.694406828205752,0.830898696634622,3
606,540,20.8493728637695,0,1,0,90.49,0.822922288224093,0.525295284276897,3
5193,7464,23.2133884429932,0,1,0,27.18,0.840617884882321,0.481007576642495,3
3461,4604,21.0,0,1,0,69.06,0.0740005678869591,0.229159122040875,6
5011,7168,19.7928867340088,0,1,0,99.29,0.133949121300094,0.230951408465609,6
4055,5570,22.6993732452393,0,1,0,41.39,0.124005059695072,0.890287800811558,5
624,562,16.9372386932373,0,1,0,93.94,0.113215683688095,0.935312794168955,7
631,576,20.7,0,1,0,3.24,0.444756685273235,0.841426349147602,6
1482,1786,20.1,0,1,0,115.85,0.485760259578774,0.817400175974179,7
6770,10190,20.3598327636719,0,1,0,12.58,0.438254974740823,0.836627956925921,1
7082,10704,19.5167369842529,0,1,0,25.25,0.442151558729217,0.857878225365823,1
7259,11010,25.7112979888916,0,2,0,62.38,0.298541206204145,0.16003976019691,1
653,610,21.884937286377,0,2,0,14.96,0.394648865900007,0.399784797002079,5
2121,2696,20.1,0,1,0,68.09,0.388870592323735,0.366135754371521,7
5607,8199,21.884937286377,0,2,0,5.44,0.409551025001828,0.40604815448838,5
7684,11752,20.1,0,1,0,30.23,0.409120835132089,0.386367362980286,7
6769,10189,18.7489547729492,0,1,0,5.64,0.578761919433741,0.859551507086851,6
663,627,23.9623432159424,0,1,0,180.41,0.517151526236776,0.86698066937882,5
5493,7990,20.910041809082,0,1,0,10.07,0.448894140115565,0.870877661751217,5
673,644,20.1,0,1,0,89.98,0.76554505044382,0.374724273763676,7
4240,5876,20.1,0,1,0,70.79,0.749333678537115,0.328063013744443,7
1384,1652,20.1,0,1,0,79.75,0.802181251817299,0.352408331995143,7
6425,9568,20.1,0,1,0,13.9,0.776823719288995,0.329852055886479,7
674,645,20.1,0,1,0,90.01,0.76554505044382,0.374724273763676,7
1367,1632,14.0,0,1,0,23.32,0.76386087782947,0.417786202307477,7
682,655,22.6993732452393,0,1,0,46.59,0.155709092722117,0.886771333384106,5
7598,11578,22.6993732452393,0,1,0,12.63,0.18009583808981,0.884645376158103,5
1771,2188,20.1,0,1,0,59.15,0.171419814213871,0.856726010590809,7
1560,1886,18.0,0,1,0,58.92,0.26593955068278,0.921025160981787,6
1582,1921,20.1,0,1,0,52.48,0.371070837999701,0.624090198316697,7
685,661,20.7,0,1,0,49.98,0.388964300387874,0.589450460428271,6
5194,7465,20.8493728637695,0,1,0,27.12,0.840617884882321,0.481007576642495,3
697,676,23.2133884429932,0,1,0,94.51,0.861387087985486,0.433681941455318,3
698,677,20.8493728637695,0,1,0,94.16,0.861387087985486,0.433681941455318,3
3061,3997,23.2133884429932,0,1,0,3.91,0.880576685651968,0.391782520316293,3
3615,4851,20.1,0,1,0,74.07,0.885183230299327,0.428950171437786,7
4838,6888,20.1,0,1,0,37.4,0.672501129970833,0.753388418366961,7
1567,1896,23.0,0,1,0,23.55,0.676399839728641,0.730585568598857,7
6620,9907,19.7928867340088,0,1,0,39.63,0.277771644945935,0.340503436516751,6
1495,1800,22.0,0,1,0,41.6,0.282657902312459,0.321432754031708,7
3056,3991,23.9979114532471,0,1,0,69.41,0.245852993796833,0.303440190826441,6
725,719,20.9895401000977,0,1,0,12.25,0.396595610812067,0.919047161843909,7
4436,6225,20.9895401000977,0,1,0,5.03,0.399410857560902,0.92716952193644,7
3357,4432,20.1,0,1,0,59.19,0.418714262268387,0.91553059226629,7
730,729,20.1,0,1,0,170.35,0.590775990366359,0.713255194552678,7
2670,3436,23.0,0,1,0,14.91,0.64122626336954,0.676147125459949,7
743,745,23.9623432159424,0,1,0,29.33,0.668249135329794,0.859568014520507,5
3153,4133,19.2112979888916,0,1,0,43.8,0.673588546111986,0.880575844331252,3
5196,7467,23.2133884429932,0,1,0,12.34,0.685184763887738,0.853600569124239,3
8313,13011,13.0,0,1,0,22.32,0.691129781970154,0.865061345178003,4
799,820,23.9623432159424,0,1,0,99.67,0.617430045195233,0.860972408944833,5
2214,2824,20.1,0,1,0,68.4,0.641688064534604,0.830655003604108,7
6133,9050,20.1,0,1,0,44.44,0.740800859283733,0.888955798020912,7
5668,8290,19.0,0,1,0,26.35,0.73973974320326,0.868568823409022,6
784,797,27.0,0,1,0,32.55,0.101483270320358,0.648364935030902,6
3216,4207,26.0,0,1,0,35.9,0.129437931491613,0.656651617635134,6
1559,1885,6.7,0,1,0,11.14,0.11431782715165,0.636756576800682,7
787,804,20.9895401000977,0,1,0,10.07,0.393030370597958,0.910271074695291,7
788,806,19.5836811065674,0,1,0,52.92,0.436983123180734,0.416421266369728,5
1480,1782,21.884937286377,0,1,0,24.47,0.464901469040744,0.432048183596958,5
2178,2767,18.7489547729492,0,1,0,8.42,0.461920126627091,0.419981123014465,6
5073,7266,22.6694564819336,0,1,0,5.93,0.414646049841313,0.416287572501989,6
789,807,21.884937286377,0,1,0,53.29,0.436983123180734,0.416421266369728,5
790,808,19.0,0,1,0,169.23,0.439983978499337,0.342142547033056,6
5424,7866,19.5836811065674,0,2,0,11.42,0.408269086023094,0.409723436501608,5
791,809,22.6694564819336,0,1,0,168.76,0.439983978499337,0.342142547033056,6
4036,5531,20.1,0,1,0,10.08,0.468699079380853,0.279550085486209,7
7290,11059,18.7489547729492,0,1,0,84.63,0.47856534245785,0.23520428721259,6
794,814,17.8329849243164,0,1,0,19.22,0.574906608199877,0.479108894905617,6
1308,1558,21.9790802001953,0,1,0,17.31,0.570978385055907,0.495683784191483,6
3700,4973,17.8329849243164,0,1,0,5.75,0.578211840936102,0.466894677091075,6
795,815,21.9790802001953,0,1,0,19.57,0.574906608199877,0.479108894905617,6
2042,2589,17.824634552002,0,1,0,16.12,0.580911968527675,0.647206897708164,7
797,817,21.0,0,1,0,23.82,0.601191902624877,0.63763330539137,7
955,1050,20.1,0,1,0,21.81,0.355240396719773,0.768795733609507,7
1704,2104,20.9895401000977,0,1,0,45.27,0.353719945272698,0.792386919565198,7
861,918,18.0,0,1,0,91.22,0.685847710905738,0.576058298306276,7
1178,1366,23.0,0,1,0,81.27,0.644498950317698,0.595749443734385,7
3726,5007,19.0,0,1,0,147.19,0.747543524250793,0.568482093189941,6
4650,6590,25.0,0,1,0,26.06,0.690575776186538,0.533310967122961,6
897,965,20.9895401000977,0,1,0,38.89,0.375278699345082,0.859168346672848,7
3152,4132,18.6422595977783,0,1,0,43.99,0.673588546111986,0.880575844331252,3
910,981,20.1,0,1,0,70.04,0.686696804900873,0.923257350079895,7
909,979,19.2112979888916,0,1,0,92.67,0.65045755680955,0.940512325197885,3
930,1010,20.1,0,1,0,89.55,0.137319807124101,0.830529383669041,7
1446,1736,16.9372386932373,0,1,0,27.1,0.104883120438519,0.844894148248354,7
4014,5501,6.7,0,1,0,55.2,0.169108066337143,0.802783803785499,7
8267,12892,20.1,0,1,0,14.03,0.177460788983397,0.828767484814621,7
941,1024,20.1,0,1,0,8.2,0.775517390186097,0.206680181624309,7
7528,11458,20.1,0,1,0,70.7,0.768062840861248,0.167922725729249,7
6199,9166,20.1,0,1,0,59.17,0.742348616445225,0.202822083870601,7
942,1025,20.1,0,1,0,7.97,0.775517390186097,0.206680181624309,7
6060,8915,20.1,0,1,0,7.11,0.785372264133782,0.208736603329382,7
6273,9294,20.1,0,1,0,50.81,0.777549069538291,0.230803617903361,7
4595,6514,20.1,0,1,0,12.6,0.367251987084574,0.763796841446323,7
956,1052,26.0,0,1,0,65.14,0.294545822106504,0.672809412290464,6
1638,2006,27.0,0,1,0,40.58,0.253190445552098,0.669779395230702,6
2976,3862,20.1,0,1,0,31.59,0.269733916144767,0.656196935905079,7
957,1053,27.0,0,1,0,65.59,0.294545822106504,0.672809412290464,6
1640,2009,20.8284511566162,0,1,0,27.52,0.323798978284296,0.660111767746479,6
7499,11411,26.0,0,1,0,19.45,0.329472124792896,0.674912818891016,6
3402,4496,27.0627613067627,0,1,0,128.41,0.303805675307169,0.726490916053588,6
5558,8114,20.1,0,1,0,55.97,0.280981781977004,0.19952438488314,7
973,1074,25.8514652252197,0,2,0,65.91,0.253789007569837,0.169229599629798,1
5354,7745,25.8514652252197,0,2,0,119.29,0.184474421577124,0.160737338188003,1
5788,8471,21.0,0,1,0,61.67,0.214489014727293,0.187838478489571,7
974,1076,29.868200302124,0,2,0,11.88,0.31514947970056,0.139546124683052,3
5087,7291,29.868200302124,0,2,0,32.1,0.309183512736333,0.112767872232874,3
3754,5050,20.1,0,1,0,97.38,0.524799715934656,0.308491780111362,7
978,1082,20.1,0,1,0,26.39,0.52073189959284,0.359868102500737,7
3170,4152,20.0,0,1,0,25.77,0.540085846456703,0.343210786369195,7
979,1083,20.0,0,1,0,26.24,0.52073189959284,0.359868102500737,7
3243,4241,18.7489547729492,0,1,0,109.84,0.492256037559758,0.326751592127865,7
2041,2588,21.0,0,1,0,15.62,0.580911968527675,0.647206897708164,7
2488,3194,20.1,0,1,0,90.71,0.546116083287918,0.669895793066986,7
980,1084,17.824634552002,0,1,0,45.71,0.55178409243654,0.648161566718371,7
982,1088,20.0,0,1,0,14.22,0.592963079137544,0.288306621132586,7
5601,8188,20.1,0,1,0,7.14,0.58663340521304,0.300570733073929,7
